"Generator_Name","time","power","scenario"
"Biomass27-81","2024-06-27 05:00:00",45.9,"Base"
"Biomass29-96","2024-06-27 05:00:00",19.4,"Base"
"Biomass33-112","2024-06-27 05:00:00",59.3,"Base"
"Biomass33-117","2024-06-27 05:00:00",34.201,"Base"
"Biomass34-81","2024-06-27 05:00:00",26.7,"Base"
"Biomass37-113","2024-06-27 05:00:00",13.54,"Base"
"Biomass37-77","2024-06-27 05:00:00",106.889,"Base"
"Biomass40-96","2024-06-27 05:00:00",4.5597,"Base"
"Biomass41-74","2024-06-27 05:00:00",27.618,"Base"
"Biomass42-83","2024-06-27 05:00:00",77.9,"Base"
"Biomass44-121","2024-06-27 05:00:00",21,"Base"
"Biomass44-77","2024-06-27 05:00:00",3.18,"Base"
"Biomass49-123","2024-06-27 05:00:00",12.1,"Base"
"Biomass53-115","2024-06-27 05:00:00",36,"Base"
"Coal28-81","2024-06-27 05:00:00",453,"Base"
"Coal31-97","2024-06-27 05:00:00",81,"Base"
"Coal33-81","2024-06-27 05:00:00",417,"Base"
"Coal34-109","2024-06-27 05:00:00",1299.6,"Base"
"Coal34-94","2024-06-27 05:00:00",650,"Base"
"Coal37-113","2024-06-27 05:00:00",160,"Base"
"Coal37-83","2024-06-27 05:00:00",626,"Base"
"Coal38-90","2024-06-27 05:00:00",474,"Base"
"Gas25-81","2024-06-27 05:00:00",371.383,"Base"
"Gas26-98","2024-06-27 05:00:00",227.268,"Base"
"Gas26-98","2024-06-27 05:00:00",39.8,"Base"
"Gas30-86","2024-06-27 05:00:00",39.5109,"Base"
"Gas30-90","2024-06-27 05:00:00",959.7909,"Base"
"Gas32-106","2024-06-27 05:00:00",373.425,"Base"
"Gas32-95","2024-06-27 05:00:00",1826.3474,"Base"
"Gas32-95","2024-06-27 05:00:00",0,"Base"
"Gas33-116","2024-06-27 05:00:00",530.2,"Base"
"Gas38-104","2024-06-27 05:00:00",287.33333333,"Base"
"Gas39-75","2024-06-27 05:00:00",220,"Base"
"Gas41-74","2024-06-27 05:00:00",135,"Base"
"Gas41-74","2024-06-27 05:00:00",496.019951733789,"Base"
"Gas42-71","2024-06-27 05:00:00",105,"Base"
"Gas42-83","2024-06-27 05:00:00",0,"Base"
"Gas42-83","2024-06-27 05:00:00",749.6,"Base"
"Gas42-83","2024-06-27 05:00:00",374.5,"Base"
"Gas50-111","2024-06-27 05:00:00",17,"Base"
"Gas50-97","2024-06-27 05:00:00",33,"Base"
"Gas52-107","2024-06-27 05:00:00",15,"Base"
"Geothermal33-115","2024-06-27 05:00:00",12,"Base"
"Geothermal39-113","2024-06-27 05:00:00",91.095,"Base"
"Geothermal39-120","2024-06-27 05:00:00",30,"Base"
"Hydro27-99","2024-06-27 05:00:00",0,"Base"
"Hydro27-99","2024-06-27 05:00:00",2.566,"Base"
"Hydro30-85","2024-06-27 05:00:00",0.66,"Base"
"Hydro31-87","2024-06-27 05:00:00",0.96,"Base"
"Hydro31-92","2024-06-27 05:00:00",24,"Base"
"Hydro33-112","2024-06-27 05:00:00",2.268055556,"Base"
"Hydro33-116","2024-06-27 05:00:00",2.48000002,"Base"
"Hydro35-93","2024-06-27 05:00:00",30,"Base"
"Hydro35-93","2024-06-27 05:00:00",1.61,"Base"
"Hydro36-78","2024-06-27 05:00:00",18.699999999,"Base"
"Hydro37-109","2024-06-27 05:00:00",7.057516667,"Base"
"Hydro41-122","2024-06-27 05:00:00",1115.91884487994,"Base"
"Hydro41-122","2024-06-27 05:00:00",3.348611111,"Base"
"Hydro41-73","2024-06-27 05:00:00",18.834,"Base"
"Hydro41-74","2024-06-27 05:00:00",0.085,"Base"
"Hydro41-74","2024-06-27 05:00:00",1.98,"Base"
"Hydro43-79","2024-06-27 05:00:00",1957.284337136,"Base"
"Hydro43-79","2024-06-27 05:00:00",542.86,"Base"
"Hydro44-65","2024-06-27 05:00:00",19.65,"Base"
"Hydro45-74","2024-06-27 05:00:00",1551.39999997,"Base"
"Hydro45-74","2024-06-27 05:00:00",27.716,"Base"
"Hydro49-113","2024-06-27 05:00:00",8.54994,"Base"
"Hydro49-115","2024-06-27 05:00:00",35.7101361583722,"Base"
"Hydro50-96","2024-06-27 05:00:00",222.921,"Base"
"Hydro52-107","2024-06-27 05:00:00",90.7260001844423,"Base"
"Nuclear25-80","2024-06-27 05:00:00",1595.6,"Base"
"Nuclear26-98","2024-06-27 05:00:00",911.3703,"Base"
"Nuclear31-85","2024-06-27 05:00:00",905,"Base"
"Nuclear33-113","2024-06-27 05:00:00",4209.57,"Base"
"Nuclear35-93","2024-06-27 05:00:00",937,"Base"
"Nuclear37-77","2024-06-27 05:00:00",1723.3,"Base"
"Nuclear44-76","2024-06-27 05:00:00",1287,"Base"
"Nuclear44-79","2024-06-27 05:00:00",1477,"Base"
"Other33-117","2024-06-27 05:00:00",67.925025,"Base"
"Solar36-76","2024-06-27 05:00:00",0.5,"Base"
"Solar36-77","2024-06-27 05:00:00",0.9,"Base"
"Solar36-77","2024-06-27 05:00:00",0,"Base"
"Solar41-71","2024-06-27 05:00:00",4.1,"Base"
"Solar41-73","2024-06-27 05:00:00",39.8,"Base"
"Solar41-73","2024-06-27 05:00:00",34.3,"Base"
"Solar43-79","2024-06-27 05:00:00",2.6,"Base"
"Solar43-79","2024-06-27 05:00:00",111.8,"Base"
"Solar44-83","2024-06-27 05:00:00",0.2,"Base"
"Solar45-63","2024-06-27 05:00:00",33.2,"Base"
"Solar45-74","2024-06-27 05:00:00",4.9,"Base"
"Storage27-81","2024-06-27 05:00:00",75.7496905844998,"Base"
"Storage33-83","2024-06-27 05:00:00",202.8,"Base"
"Storage34-112","2024-06-27 05:00:00",21.62048,"Base"
"Storage37-121","2024-06-27 05:00:00",75.1472,"Base"
"Storage37-80","2024-06-27 05:00:00",245.00000004,"Base"
"Storage38-91","2024-06-27 05:00:00",440,"Base"
"Storage42-74","2024-06-27 05:00:00",493.580088996572,"Base"
"Storage43-79","2024-06-27 05:00:00",1.74,"Base"
"Storage43-79","2024-06-27 05:00:00",300.24545454,"Base"
"Wind26-97","2024-06-27 05:00:00",23.8,"Base"
"Wind29-82","2024-06-27 05:00:00",83.6,"Base"
"Wind30-87","2024-06-27 05:00:00",206.9,"Base"
"Wind30-92","2024-06-27 05:00:00",2.9,"Base"
"Wind32-105","2024-06-27 05:00:00",54.2,"Base"
"Wind32-106","2024-06-27 05:00:00",644.7,"Base"
"Wind33-115","2024-06-27 05:00:00",48.6,"Base"
"Wind33-115","2024-06-27 05:00:00",322.2,"Base"
"Wind36-76","2024-06-27 05:00:00",207.2,"Base"
"Wind37-102","2024-06-27 05:00:00",422.1,"Base"
"Wind41-121","2024-06-27 05:00:00",0.3,"Base"
"Wind41-121","2024-06-27 05:00:00",1.2,"Base"
"Wind41-72","2024-06-27 05:00:00",156.7,"Base"
"Wind41-74","2024-06-27 05:00:00",249.9,"Base"
"Wind42-82","2024-06-27 05:00:00",77.1,"Base"
"Wind45-63","2024-06-27 05:00:00",268.509500007865,"Base"
"Wind45-72","2024-06-27 05:00:00",58.5,"Base"
"Wind45-72","2024-06-27 05:00:00",115.2,"Base"
"Wind48-124","2024-06-27 05:00:00",9,"Base"
"Wind48-124","2024-06-27 05:00:00",0,"Base"
"Wind49-106","2024-06-27 05:00:00",22.9,"Base"
"Wind49-113","2024-06-27 05:00:00",1197.7,"Base"
"Wind50-96","2024-06-27 05:00:00",116.675449994999,"Base"
